Platz,PAK,SNR,Name,Vorname,Verein,AK,Zeit,Schwimmen,Rad,Laufen,Details
1,1,5,Van Vlerken,Per,LC Dübener Heide,AK 35,01:53:44,00:19:26,00:56:33,00:34:50,Details
2,1,28,Seifert,Florian,TVB09 e. V. / Team Berlin,AK 30,01:55:01,00:19:27,00:58:17,00:34:19,Details
3,2,4,Schulz,Martin,SC DHfK Leipzig e. V.,AK 30,01:55:30,00:20:42,00:57:51,00:33:56,Details
4,2,10,Schilling,Alexander,athleticnetworks.com,AK 35,01:56:22,00:19:30,00:59:18,00:34:48,Details
5,1,7,Warmuth,Kenneth,KTT 01,AK 25,01:56:45,00:20:25,00:59:04,00:34:35,Details
6,1,38,Berger,Felix,Teha Endurance Group,AK 20,01:58:21,00:21:38,00:58:28,00:35:10,Details
7,3,29,Breitkreuz,Maximilian,Roter Stern Leipzig,AK 35,01:59:50,00:23:20,00:56:52,00:36:05,Details
8,2,21,Weihmüller,Morris,LTV Obereichsfeld e. V.,AK 20,01:59:50,00:22:03,01:00:37,00:34:01,Details
9,3,447,Hartmann,Johannes,STRONK,AK 30,02:00:22,00:20:58,01:00:31,00:35:05,Details
10,1,50,Poerner,Gernot,TC Merseburg,AK 45,02:00:27,00:23:14,00:57:27,00:36:24,Details
11,4,56,Laube,Fabian,TuS Neukölln Berlin,AK 35,02:03:01,00:19:27,01:02:59,00:36:45,Details
12,3,8,Heinemann,Lorenz,SV Halle Triathlon,AK 20,02:03:35,00:21:36,01:02:07,00:36:47,Details
13,4,246,Dreier,Tobias,SV Döbeln 05,AK 30,02:03:48,00:22:51,01:00:45,00:36:49,Details
14,1,88,Peim,Alexander,TSV Saalburg e. V.,AK 40,02:04:38,00:23:44,00:59:50,00:37:17,Details
15,5,188,Hartmann,Christoph,Team Hartmann,AK 35,02:06:36,00:22:50,01:01:19,00:39:16,Details
16,2,17,Scherl,Lukas,SV Bayreuth,AK 25,02:06:41,00:24:09,00:59:41,00:39:18,Details
17,6,107,Gonschorek,Patrick,SC DHfK Leipzig e. V.. Triathlon,AK 35,02:07:21,00:26:10,01:02:09,00:35:40,Details
18,2,39,Müller,Erik,Leipziger Triathlon e. V.,AK 45,02:07:24,00:23:13,01:02:30,00:38:09,Details
19,3,3,Petzold,Maik,Bautzener LV Rot-Weiß 90 e. V.,AK 45,02:07:48,00:20:40,01:05:22,00:37:33,Details
20,7,101,Heinze,Christoph,TRIStars Markkleeberg e. V.,AK 35,02:07:59,00:24:12,01:04:17,00:35:54,Details
21,5,154,König,Sebastian,LC Dübener Heide,AK 30,02:08:42,00:26:40,01:02:54,00:35:41,Details
22,6,272,Buggenthin,Henry,TRIStars Markkleeberg e. V.,AK 30,02:09:09,00:23:22,01:05:18,00:37:08,Details
23,2,114,Conrad,Marcus,TEHA Endurance Group,AK 40,02:09:35,00:28:32,01:01:11,00:36:04,Details
24,3,715,Brandl,Nicola,Athletico Leipzig e. V.,AK 25,02:09:49,00:24:53,01:03:45,00:37:52,Details
25,4,523,Knüpfer,Tim,Leipzig,AK 20,02:10:33,00:25:39,01:03:48,00:37:21,Details
26,7,51,Könner,Michael,sisu-training,AK 30,02:10:58,00:26:22,01:02:54,00:38:04,Details
27,1,173,Bogen,Gregor,LFV Oberholz e. V.,AK 50,02:11:00,00:24:24,01:03:29,00:39:43,Details
28,8,36,Riedrich,Christian,TVB09 e. V./Team Berlin,AK 30,02:11:06,00:19:25,01:01:43,00:46:04,Details
29,8,121,Werner,Rico,Athletico Leipzig e. V.,AK 35,02:11:47,00:28:23,01:00:47,00:39:07,Details
30,4,661,Groß,Yannis,Stertz Performance,AK 25,02:11:48,00:24:08,01:05:11,00:38:38,Details
31,5,280,Musolf,Tim,ASC Göttingen Triathlon Team,AK 25,02:12:12,00:24:21,01:03:22,00:40:12,Details
32,3,131,Golatowski,Stephan,LFV Oberholz e. V.,AK 40,02:12:26,00:24:41,01:01:17,00:42:15,Details
33,1,15,Kiso,Andreas,SGE Exter,AK 55,02:12:29,00:24:44,01:05:49,00:37:46,Details
34,4,129,Ronneburger,Ralf,Athletico Leipzig e. V.,AK 45,02:13:33,00:26:17,01:04:21,00:39:20,Details
35,5,458,Winkler,Lars,Leipzig,AK 45,02:13:40,00:23:09,01:03:44,00:42:32,Details
36,9,685,Marcks,Franz,APPSfactory,AK 30,02:13:51,00:26:06,01:02:29,00:41:10,Details
37,9,183,Rohde,Leonard,Tri-Team Senftenberg,AK 35,02:14:14,00:27:55,01:03:24,00:38:48,Details
38,6,479,Stechemesser,Nico,Team Gelb Dresden,AK 45,02:14:15,00:20:41,01:07:02,00:42:32,Details
39,10,482,Böhm,Ralf,Chemnitz,AK 30,02:14:19,00:25:36,01:01:44,00:42:30,Details
40,11,98,Wolf,Paul,SC DHfK Leipzig e. V.,AK 30,02:14:31,00:26:57,01:02:58,00:40:40,Details
41,6,213,Menzel,Max,TV Dresden e. V.,AK 25,02:14:40,00:22:34,01:01:36,00:46:26,Details
42,10,480,Dolge,René,Salzatal,AK 35,02:14:41,00:27:23,01:04:04,00:38:57,Details
43,4,24,Barth,Paul,Team ultraSPORTS,AK 40,02:14:53,00:27:08,01:03:22,00:40:01,Details
44,5,20,Franz,Matthias,Moritzburger Triathlonverein e. V.,AK 40,02:15:06,00:27:20,01:05:58,00:37:14,Details
45,7,130,Müller,Sebastian,TV Dresden e. V.,AK 25,02:15:25,00:24:22,01:05:11,00:42:17,Details
46,11,293,Steiniger,Sascha,SG Falkenstein,AK 35,02:15:49,00:28:00,01:03:47,00:39:43,Details
47,12,205,Bernau,Stefan,DLRG Luckenwalde,AK 35,02:15:54,00:26:40,01:05:06,00:39:10,Details
48,2,451,Endler,Jan,Rapswegrunners,AK 50,02:15:58,00:26:50,01:05:37,00:39:00,Details
49,13,187,Rose,Tobias,Teamwork Berlin e. V.,AK 35,02:16:00,00:25:33,01:05:13,00:41:20,Details
50,14,251,Franz,Dustin,DLRG Luckenwalde,AK 35,02:16:19,00:27:41,01:05:16,00:39:48,Details
51,6,253,Bernardoni,Fabio,Triathlon Verein Dresden,AK 40,02:16:39,00:24:16,01:07:25,00:40:52,Details
52,3,210,Berger,Rodrigo,ADREIKA,AK 50,02:16:58,00:25:17,01:09:00,00:39:32,Details
53,8,62,Eberwein,Lukas,Bremen,AK 25,02:17:14,00:26:34,01:06:29,00:39:23,Details
54,7,552,Ganzon,Martin,SV Zwickau 04,AK 40,02:18:08,00:23:57,01:05:27,00:44:37,Details
55,12,478,Behnisch,Yves,Rennrad statt Auto,AK 30,02:18:12,00:29:00,01:06:56,00:37:59,Details
